"iso3","year","grant"
"AFG",2013,5156.47
"AFG",2014,4995.65
"AFG",2015,4317.94
"AFG",2016,4133.9
"AFG",2017,3712.57
"AFG",2018,3625.9
"AFG",2019,4214.65
"AFG",2006,2858.57
"AFG",2007,4853.56
"AFG",1995,212.59
"AFG",1996,169.69
"AFG",1997,230.78
"AFG",1998,164.34
"AFG",1999,141.19
"AFG",2000,136.01
"AFG",2001,410.36
"AFG",2002,1258.66
"AFG",2003,1528.38
"AFG",2004,2135.83
"AFG",2005,2723.02
"AFG",2010,6319.47
"AFG",2011,6723.36
"AFG",2008,4736.71
"AFG",2009,6061.13
"AFG",2012,6617.1
"ALB",2001,198.8
"ALB",2002,187.47
"ALB",2005,240.68
"ALB",2006,250.07
"ALB",2003,257.71
"ALB",1996,166.72
"ALB",1997,112
"ALB",1998,161.06
"ALB",1995,108.31
"ALB",2010,264.84
"ALB",1999,349.56
"ALB",2000,215.92
"ALB",2013,201.34
"ALB",2014,243.44
"ALB",2004,203.42
"ALB",2015,295.6
"ALB",2016,212.94
"ALB",2017,216.71
"ALB",2018,275.95
"ALB",2007,234.08
"ALB",2008,302.33
"ALB",2009,268.91
"ALB",2011,264.66
"ALB",2012,244.18
"ALB",2019,252.84
"DZA",2013,267.34
"DZA",2016,214.32
"DZA",2017,266.03
"DZA",2018,258.4
"DZA",1995,170.79
"DZA",1996,212.89
"DZA",1997,142.93
"DZA",2019,257.77
"DZA",1998,213.8
"DZA",1999,140.97
"DZA",2000,137.43
"DZA",2014,238.94
"DZA",2015,192.94
"DZA",2003,218.76
"DZA",2004,290.78
"DZA",2005,323.31
"DZA",2008,319.44
"DZA",2010,260.8
"DZA",2006,349.46
"DZA",2007,390.55
"DZA",2001,119.83
"DZA",2002,190.28
"DZA",2011,291.7
"DZA",2012,250.53
"DZA",2009,309.96
"AGO",1998,268.04
"AGO",1999,318.72
"AGO",1996,375.13
"AGO",1997,298.89
"AGO",2009,237.68
"AGO",2000,253.35
"AGO",2001,270.37
"AGO",2005,383.93
"AGO",1995,398.87
"AGO",2019,205.03
"AGO",2007,360.61
"AGO",2008,347.73
"AGO",2002,396.58
