"iso3","year","loan"
"AFG",2004,132.7
"AFG",2005,92.15
"AFG",2006,37.41
"AFG",2007,129.09
"AFG",2008,74.53
"AFG",2009,51.99
"AFG",1995,-0.06
"AFG",1996,-0.05
"AFG",1997,-0.03
"AFG",1998,-0.14
"AFG",1999,1.67
"AFG",2002,-35.38
"AFG",2003,9.85
"AFG",2017,108.09
"AFG",2018,189.2
"AFG",2019,130.81
"AFG",2011,28.51
"AFG",2012,68.67
"AFG",2013,11.41
"AFG",2010,-73.04
"AFG",2015,-27.85
"AFG",2016,-6.22
"AFG",2014,-18.21
"ALB",1996,59.92
"ALB",1997,56.23
"ALB",1998,107.68
"ALB",2000,101.93
"ALB",2001,69.74
"ALB",2016,-40.07
"ALB",1999,138.62
"ALB",1995,72.28
"ALB",2008,62.52
"ALB",2009,88.24
"ALB",2010,102.24
"ALB",2011,114.9
"ALB",2012,105.49
"ALB",2014,40.18
"ALB",2015,40.06
"ALB",2017,-48
"ALB",2018,74.32
"ALB",2019,-223.74
"ALB",2005,74.39
"ALB",2006,73.97
"ALB",2007,74.58
"ALB",2003,91.58
"ALB",2013,68.73
"ALB",2002,119.89
"ALB",2004,97.52
"DZA",1995,124.95
"DZA",2005,24.13
"DZA",1999,-2.99
"DZA",1996,93.99
"DZA",1997,104.96
"DZA",2006,-108.78
"DZA",2019,-81.8
"DZA",2003,20.47
"DZA",2004,26.21
"DZA",2009,-6.44
"DZA",1998,206.06
"DZA",2007,4.47
"DZA",2008,5.39
"DZA",2017,-91.18
"DZA",2018,-113.82
"DZA",2014,-78.19
"DZA",2016,-69.57
"DZA",2015,-121.74
"DZA",2000,62.54
"DZA",2002,-4.15
"DZA",2011,-98.32
"DZA",2012,-103.19
"DZA",2010,-57.07
"DZA",2001,79.02
"DZA",2013,-63.41
"AGO",2019,-154.73
"AGO",2017,23.7
"AGO",2000,48.87
"AGO",2007,-100.61
"AGO",2018,-25.27
"AGO",2001,12.36
"AGO",2002,17.45
"AGO",2015,216.21
"AGO",2003,1.16
"AGO",1999,68.82
"AGO",2004,709.45
"AGO",2005,30.89
"AGO",2016,10.2
"AGO",2010,-9.08
"AGO",2011,-8.76
"AGO",2012,36.05
"AGO",2006,-203.84
"AGO",2014,35.21
"AGO",2008,21.34
"AGO",2009,1.28
"AGO",2013,74.33
"AGO",1997,55.77
"AGO",1998,67.23
"AGO",1996,84.17
"AGO",1995,17.56
"AIA",2007,2.55
"AIA",2005,-0.33
"AIA",2006,-0.33
"AIA",2003,1.26
"AIA",2008,-0.39
"AIA",2004,0.31
"AIA",2002,-1.2
"AIA",2013,-0.27
"AIA",2009,-0.14
"AIA",2001,0.38
"AIA",2000,-0.27
"AIA",2012,-0.19
"AIA",1999,-0.48
"AIA",2010,-0.38
"AIA",2011,-0.24
"AIA",1998,-2.41
"AIA",1996,-0.09
"AIA",1997,0.13
"AIA",1995,0.11
"ATG",2007,-0.95
"ATG",1996,2.58
"ATG",2000,4.76
"ATG",2008,0.55
"ATG",1995,0.38
"ATG",2006,-0.67
"ATG",1999,1.46
"ATG",1997,2.41
"ATG",1998,-1.15
"ATG",2010,-0.5
"ATG",2013,-1.02
"ATG",2015,-1.25
"ATG",2009,0
"ATG",2005,-0.23
"ATG",2019,3.62
"ATG",2011,-0.76
"ATG",2012,-0.25
"ATG",2016,-7.19
"ATG",2003,1.74
"ATG",2004,-0.75
"ATG",2017,-1.07
"ATG",2018,13.23
"ATG",2001,1.64
"ATG",2002,2.01
"ATG",2014,-0.64
"ARG",2000,-14.13
"ARG",2001,71.99
"ARG",1999,-8.55
"ARG",1997,-7.38
"ARG",1998,-31.7
"ARG",2003,17.38
"ARG",1995,28.03
"ARG",1996,17.39
"ARG",2002,-13.1
"ARG",2007,-19.43
"ARG",2011,-23.77
"ARG",2012,81.37
"ARG",2010,23.76
"ARG",2013,-51.66
"ARG",2017,-76.96
"ARG",2008,-0.61
"ARG",2014,-34.68
"ARG",2019,-73.24
"ARG",2005,14.78
"ARG",2006,19.82
"ARG",2009,-12.01
"ARG",2004,8.26
"ARG",2015,-86.62
"ARG",2018,-4.56
"ARG",2016,-67.18
"ARM",1996,151.98
"ARM",1997,117.03
"ARM",2000,60.3
"ARM",1998,115.27
"ARM",1995,88.5
"ARM",2005,22.8
"ARM",2002,100.19
"ARM",1999,106.14
"ARM",2007,181
"ARM",2008,125.43
"ARM",2006,52.97
"ARM",2019,264.87
"ARM",2003,100.47
"ARM",2004,93.22
"ARM",2010,125.92
"ARM",2013,119.52
"ARM",2001,80.3
"ARM",2011,107.9
"ARM",2017,126.26
"ARM",2018,-17.09
"ARM",2014,114.09
"ARM",2015,170.27
"ARM",2009,228.53
"ARM",2012,129.53
"ARM",2016,123.71
"ABW",1998,-7.48
"ABW",1997,-7.32
"ABW",1996,-8.36
"ABW",1995,-3.26
"ABW",1999,-7.44
"AZE",2013,-214.87
"AZE",2012,159.21
"AZE",1996,35.8
"AZE",2011,131.39
"AZE",2010,14.52
"AZE",2014,78.33
"AZE",1997,133
"AZE",1998,52.26
"AZE",2008,71.19
"AZE",2007,65.32
"AZE",2003,178.24
"AZE",1995,30.2
"AZE",2004,46.8
"AZE",2009,80.22
"AZE",2006,47.06
"AZE",2017,31.65
"AZE",2016,-6.88
"AZE",2015,-22.45
"AZE",1999,93.64
"AZE",2018,-3.09
"AZE",2005,55.93
"AZE",2002,208.64
"AZE",2019,24.76
"AZE",2001,139.05
"AZE",2000,58.59
"BHS",1995,-1.67
"BHR",2004,48.5
"BHR",2003,75.43
