"","iso3","year","population"
"1","AFG",1996,"18853444"
"2","AFG",1997,"19357126"
"3","AFG",1998,"19737770"
"4","AFG",1999,"20170847"
"5","AFG",2000,"20779957"
"6","AFG",2001,"21606992"
"7","AFG",2002,"22600774"
"8","AFG",2003,"23680871"
"9","AFG",2004,"24726689"
"10","AFG",2005,"25654274"
"11","AFG",2006,"26433058"
"12","AFG",2007,"27100542"
"13","AFG",2008,"27722281"
"14","AFG",2009,"28394806"
"15","AFG",2010,"29185511"
"16","AFG",2011,"30117411"
"17","AFG",2012,"31161378"
"18","AFG",2013,"32269592"
"19","AFG",2014,"33370804"
"20","AFG",2015,"34413603"
"21","AFG",2016,"35383028"
"22","AFG",2017,"36296111"
"23","AFG",2018,"37171922"
"24","AFG",2019,"38041757"
"25","ALB",1996,"3168033"
"26","ALB",1997,"3148281"
"27","ALB",1998,"3128530"
"28","ALB",1999,"3108778"
"29","ALB",2000,"3089027"
"30","ALB",2001,"3060173"
"31","ALB",2002,"3051010"
"32","ALB",2003,"3039616"
"33","ALB",2004,"3026939"
"34","ALB",2005,"3011487"
"35","ALB",2006,"2992547"
"36","ALB",2007,"2970017"
"37","ALB",2008,"2947314"
"38","ALB",2009,"2927519"
"39","ALB",2010,"2913021"
"40","ALB",2011,"2905195"
"41","ALB",2012,"2900401"
"42","ALB",2013,"2895092"
"43","ALB",2014,"2889104"
"44","ALB",2015,"2880703"
"45","ALB",2016,"2876101"
"46","ALB",2017,"2873457"
"47","ALB",2018,"2866376"
"48","ALB",2019,"2854191"
"49","DZA",1996,"29266415"
"50","DZA",1997,"29742980"
"51","DZA",1998,"30192750"
"52","DZA",1999,"30623406"
"53","DZA",2000,"31042238"
"54","DZA",2001,"31451513"
"55","DZA",2002,"31855110"
"56","DZA",2003,"32264159"
"57","DZA",2004,"32692153"
"58","DZA",2005,"33149720"
"59","DZA",2006,"33641007"
"60","DZA",2007,"34166976"
"61","DZA",2008,"34730604"
"62","DZA",2009,"35333882"
"63","DZA",2010,"35977451"
"64","DZA",2011,"36661438"
"65","DZA",2012,"37383899"
"66","DZA",2013,"38140135"
"67","DZA",2014,"38923688"
"68","DZA",2015,"39728020"
"69","DZA",2016,"40551398"
"70","DZA",2017,"41389174"
"71","DZA",2018,"42228415"
"72","DZA",2019,"43053054"
"73","ASM",1996,"54209"
"74","ASM",1997,"55227"
"75","ASM",1998,"56180"
"76","ASM",1999,"57049"
"77","ASM",2000,"57816"
"78","ASM",2001,"58496"
"79","ASM",2002,"59077"
"80","ASM",2003,"59495"
"81","ASM",2004,"59684"
"82","ASM",2005,"59557"
"83","ASM",2006,"59109"
"84","ASM",2007,"58367"
"85","ASM",2008,"57490"
"86","ASM",2009,"56675"
"87","ASM",2010,"56084"
"88","ASM",2011,"55755"
"89","ASM",2012,"55669"
"90","ASM",2013,"55717"
"91","ASM",2014,"55791"
"92","ASM",2015,"55806"
"93","ASM",2016,"55739"
"94","ASM",2017,"55617"
"95","ASM",2018,"55461"
"96","ASM",2019,"55312"
"97","AND",1996,"64363"
"98","AND",1997,"64318"
"99","AND",1998,"64140"
"100","AND",1999,"64368"
"101","AND",2000,"65390"
"102","AND",2001,"67344"
"103","AND",2002,"70048"
"104","AND",2003,"73180"
"105","AND",2004,"76250"
"106","AND",2005,"78871"
"107","AND",2006,"80995"
"108","AND",2007,"82682"
"109","AND",2008,"83860"
"110","AND",2009,"84461"
"111","AND",2010,"84454"
"112","AND",2011,"83748"
"113","AND",2012,"82427"
"114","AND",2013,"80770"
"115","AND",2014,"79213"
"116","AND",2015,"77993"
"117","AND",2016,"77295"
"118","AND",2017,"76997"
"119","AND",2018,"77008"
"120","AND",2019,"77146"
"121","AGO",1996,"14400722"
"122","AGO",1997,"14871572"
"123","AGO",1998,"15359600"
"124","AGO",1999,"15866871"
"125","AGO",2000,"16395477"
"126","AGO",2001,"16945753"
"127","AGO",2002,"17519418"
"128","AGO",2003,"18121477"
"129","AGO",2004,"18758138"
"130","AGO",2005,"19433604"
"131","AGO",2006,"20149905"
"132","AGO",2007,"20905360"
"133","AGO",2008,"21695636"
"134","AGO",2009,"22514275"
"135","AGO",2010,"23356247"
"136","AGO",2011,"24220660"
"137","AGO",2012,"25107925"
"138","AGO",2013,"26015786"
"139","AGO",2014,"26941773"
"140","AGO",2015,"27884380"
"141","AGO",2016,"28842482"
"142","AGO",2017,"29816769"
"143","AGO",2018,"30809787"
"144","AGO",2019,"31825299"
"145","ATG",1996,"70176"
"146","ATG",1997,"71707"
"147","ATG",1998,"73219"
"148","ATG",1999,"74674"
"149","ATG",2000,"76007"
"150","ATG",2001,"77212"
"151","ATG",2002,"78298"
"152","ATG",2003,"79311"
"153","ATG",2004,"80347"
"154","ATG",2005,"81462"
"155","ATG",2006,"82715"
"156","ATG",2007,"84029"
"157","ATG",2008,"85394"
"158","ATG",2009,"86743"
"159","ATG",2010,"88030"
"160","ATG",2011,"89250"
"161","ATG",2012,"90407"
"162","ATG",2013,"91510"
"163","ATG",2014,"92562"
"164","ATG",2015,"93571"
"165","ATG",2016,"94520"
"166","ATG",2017,"95425"
"167","ATG",2018,"96282"
"168","ATG",2019,"97115"
"169","ARG",1996,"35246376"
"170","ARG",1997,"35657438"
"171","ARG",1998,"36063451"
"172","ARG",1999,"36467218"
"173","ARG",2000,"36870796"
"174","ARG",2001,"37275644"
"175","ARG",2002,"37681743"
"176","ARG",2003,"38087866"
"177","ARG",2004,"38491970"
"178","ARG",2005,"38892924"
"179","ARG",2006,"39289876"
"180","ARG",2007,"39684303"
"181","ARG",2008,"40080159"
"182","ARG",2009,"40482786"
"183","ARG",2010,"40788453"
"184","ARG",2011,"41261490"
"185","ARG",2012,"41733271"
"186","ARG",2013,"42202935"
"187","ARG",2014,"42669500"
"188","ARG",2015,"43131966"
"189","ARG",2016,"43590368"
"190","ARG",2017,"44044811"
"191","ARG",2018,"44494502"
"192","ARG",2019,"44938712"
"193","ARM",1996,"3168213"
"194","ARM",1997,"3133081"
"195","ARM",1998,"3108691"
"196","ARM",1999,"3089020"
"197","ARM",2000,"3069597"
"198","ARM",2001,"3050686"
"199","ARM",2002,"3033976"
"200","ARM",2003,"3017938"
"201","ARM",2004,"3000715"
"202","ARM",2005,"2981262"
"203","ARM",2006,"2958301"
"204","ARM",2007,"2932615"
"205","ARM",2008,"2907615"
"206","ARM",2009,"2888094"
"207","ARM",2010,"2877314"
"208","ARM",2011,"2876536"
"209","ARM",2012,"2884239"
"210","ARM",2013,"2897593"
"211","ARM",2014,"2912403"
"212","ARM",2015,"2925559"
"213","ARM",2016,"2936147"
"214","ARM",2017,"2944789"
"215","ARM",2018,"2951741"
"216","ARM",2019,"2957728"
"217","ABW",1996,"83211"
"218","ABW",1997,"85450"
"219","ABW",1998,"87280"
"220","ABW",1999,"89009"
"221","ABW",2000,"90866"
"222","ABW",2001,"92892"
"223","ABW",2002,"94992"
"224","ABW",2003,"97016"
"225","ABW",2004,"98744"
"226","ABW",2005,"100028"
"227","ABW",2006,"100830"
"228","ABW",2007,"101226"
"229","ABW",2008,"101362"
"230","ABW",2009,"101452"
"231","ABW",2010,"101665"
"232","ABW",2011,"102050"
"233","ABW",2012,"102565"
"234","ABW",2013,"103165"
"235","ABW",2014,"103776"
"236","ABW",2015,"104339"
"237","ABW",2016,"104865"
"238","ABW",2017,"105361"
"239","ABW",2018,"105846"
"240","ABW",2019,"106310"
"241","AUS",1996,"18311000"
"242","AUS",1997,"18517000"
"243","AUS",1998,"18711000"
"244","AUS",1999,"18926000"
"245","AUS",2000,"19153000"
"246","AUS",2001,"19413000"
"247","AUS",2002,"19651400"
"248","AUS",2003,"19895400"
"249","AUS",2004,"20127400"
"250","AUS",2005,"20394800"
"251","AUS",2006,"20697900"
"252","AUS",2007,"20827600"
"253","AUS",2008,"21249200"
"254","AUS",2009,"21691700"
"255","AUS",2010,"22031750"
"256","AUS",2011,"22340024"
"257","AUS",2012,"22733465"
"258","AUS",2013,"23128129"
"259","AUS",2014,"23475686"
"260","AUS",2015,"23815995"
"261","AUS",2016,"24190907"
"262","AUS",2017,"24601860"
"263","AUS",2018,"24982688"
"264","AUS",2019,"25365745"
"265","AUT",1996,"7959017"
"266","AUT",1997,"7968041"
"267","AUT",1998,"7976789"
"268","AUT",1999,"7992324"
"269","AUT",2000,"8011566"
"270","AUT",2001,"8042293"
"271","AUT",2002,"8081957"
"272","AUT",2003,"8121423"
"273","AUT",2004,"8171966"
"274","AUT",2005,"8227829"
"275","AUT",2006,"8268641"
"276","AUT",2007,"8295487"
"277","AUT",2008,"8321496"
"278","AUT",2009,"8343323"
"279","AUT",2010,"8363404"
"280","AUT",2011,"8391643"
"281","AUT",2012,"8429991"
"282","AUT",2013,"8479823"
"283","AUT",2014,"8546356"
"284","AUT",2015,"8642699"
"285","AUT",2016,"8736668"
"286","AUT",2017,"8797566"
"287","AUT",2018,"8840521"
"288","AUT",2019,"8879920"
"289","AZE",1996,"7763000"
"290","AZE",1997,"7838250"
"291","AZE",1998,"7913000"
"292","AZE",1999,"7982750"
"293","AZE",2000,"8048600"
"294","AZE",2001,"8111200"
"295","AZE",2002,"8171950"
"296","AZE",2003,"8234100"
"297","AZE",2004,"8306500"
"298","AZE",2005,"8391850"
"299","AZE",2006,"8484550"
"300","AZE",2007,"8581300"
"301","AZE",2008,"8763400"
"302","AZE",2009,"8947243"
"303","AZE",2010,"9054332"
"304","AZE",2011,"9173082"
"305","AZE",2012,"9295784"
"306","AZE",2013,"9416801"
"307","AZE",2014,"9535079"
