"dacc","cross"
"ABW",51439.063376
"AFG",0
"AGO",51439.063376
"AIA",51439.063376
"ALB",0
"AND",51439.063376
"ARE",0
"ARG",51439.063376
"ARM",51439.063376
"ASM",51439.063376
"ATG",51439.063376
"AUT",51439.063376
"AZE",0
"BDI",51439.063376
"BEL",51439.063376
"BEN",51439.063376
"BFA",0
"BGD",0
"BGR",51439.063376
"BHR",0
"BHS",51439.063376
"BIH",51439.063376
"BLR",51439.063376
"BLZ",51439.063376
"BMU",51439.063376
"BOL",51439.063376
"BRA",51439.063376
"BRB",51439.063376
"BRN",0
"BTN",0
"BWA",51439.063376
"CAF",51439.063376
"CHE",51439.063376
"CHL",51439.063376
"CHN",9311.089062
"CIV",51439.063376
"CMR",51439.063376
"COD",51439.063376
"COG",51439.063376
"COK",51439.063376
"COL",51439.063376
"COM",0
"CPV",51439.063376
"CRI",51439.063376
"CUB",51439.063376
"CUW",51439.063376
"CYM",51439.063376
"CYP",51439.063376
"CZE",9311.089062
"DJI",0
"DMA",51439.063376
"DNK",51439.063376
"DOM",51439.063376
"DZA",0
"ECU",51439.063376
"EGY",0
"ERI",51439.063376
"ESH",0
"EST",9311.089062
"ETH",51439.063376
"FIN",51439.063376
"FJI",51439.063376
"FLK",51439.063376
"FRO",51439.063376
"FSM",51439.063376
"GAB",51439.063376
"GEO",51439.063376
"GHA",51439.063376
"GIB",51439.063376
"GIN",0
"GLP",51439.063376
"GMB",0
"GNB",0
"GNQ",51439.063376
"GRC",51439.063376
"GRD",51439.063376
"GRL",51439.063376
"GTM",51439.063376
"GUF",51439.063376
"GUM",51439.063376
"GUY",51439.063376
"HKG",9311.089062
"HND",51439.063376
"HRV",51439.063376
"HTI",51439.063376
"HUN",51439.063376
"IDN",0
"IMN",51439.063376
"IND",0
"IRL",51439.063376
"IRN",0
"IRQ",0
"ISL",51439.063376
"ISR",0
"JAM",51439.063376
"JOR",0
"KAZ",0
"KEN",51439.063376
"KGZ",0
"KHM",0
"KIR",51439.063376
"KNA",51439.063376
"KWT",0
"LAO",0
"LBN",0
"LBR",51439.063376
"LBY",0
"LCA",51439.063376
"LIE",51439.063376
"LKA",0
"LSO",51439.063376
"LTU",51439.063376
"LUX",51439.063376
"LVA",51439.063376
"MAC",0
"MAR",0
"MCO",51439.063376
"MDA",51439.063376
"MDG",51439.063376
"MDV",0
"MEX",51439.063376
"MHL",51439.063376
"MKD",51439.063376
"MLI",0
"MLT",51439.063376
"MMR",0
"MNE",51439.063376
"MNG",0
"MNP",51439.063376
"MOZ",51439.063376
"MRT",0
"MSR",51439.063376
"MTQ",51439.063376
"MUS",0
"MWI",51439.063376
"MYS",0
"MYT",0
"NAM",51439.063376
"NCL",51439.063376
"NER",0
"NGA",51439.063376
"NIC",51439.063376
"NIU",51439.063376
"NOR",51439.063376
"NPL",0
"NRU",51439.063376
"NZL",51439.063376
"OMN",0
"PAK",0
"PAN",51439.063376
"PER",51439.063376
"PHL",51439.063376
"PLW",51439.063376
"PNG",51439.063376
"POL",51439.063376
"PRI",51439.063376
"PRK",9311.089062
"PRT",51439.063376
"PRY",51439.063376
"PSE",0
"PYF",51439.063376
"QAT",0
"REU",51439.063376
"ROU",51439.063376
"RUS",51439.063376
"RWA",51439.063376
"SAU",0
"SDN",0
"SEN",0
"SGP",0
"SHN",51439.063376
"SLB",51439.063376
"SLE",0
"SLV",51439.063376
"SMR",51439.063376
"SOM",0
"SPM",51439.063376
"SRB",51439.063376
"SSD",51439.063376
"STP",51439.063376
"SUR",51439.063376
"SVK",51439.063376
"SVN",51439.063376
"SWE",51439.063376
"SWZ",51439.063376
"SXM",51439.063376
"SYC",51439.063376
"SYR",0
"TCA",51439.063376
"TCD",0
"TGO",51439.063376
"THA",0
"TJK",0
"TKL",51439.063376
"TKM",0
"TLS",51439.063376
"TON",51439.063376
"TTO",51439.063376
"TUN",0
"TUR",0
"TUV",51439.063376
"TZA",51439.063376
"UGA",51439.063376
"UKR",51439.063376
"URY",51439.063376
"UZB",0
"VAT",51439.063376
"VCT",51439.063376
"VEN",51439.063376
"VGB",51439.063376
"VIR",51439.063376
"VNM",0
"VUT",51439.063376
"WLF",51439.063376
"WSM",51439.063376
"YEM",0
"ZAF",51439.063376
"ZMB",51439.063376
"ZWE",51439.063376
