"countries","dac","dist","colony"
"ABW","AUS",15237.5,0
"ABW","CAN",3573.887,0
"ABW","DEU",8034.389,0
"ABW","ESP",7121.524,0
"ABW","FRA",7685.884,0
"ABW","GBR",7541.243,0
"ABW","ITA",8480.133,0
"ABW","JPN",13815.84,0
"ABW","NLD",7896.896,1
"ABW","USA",3161.668,0
"AFG","AUS",11433.49,0
"AFG","CAN",10768.89,0
"AFG","DEU",5226.514,0
"AFG","ESP",6290.493,0
"AFG","FRA",5590.381,0
"AFG","GBR",5718.078,0
"AFG","ITA",4935.994,0
"AFG","JPN",6278.016,0
"AFG","NLD",5361.4,0
"AFG","USA",10847.88,0
"AGO","AUS",13528.2,0
"AGO","CAN",10904.94,0
"AGO","DEU",6738.352,0
"AGO","ESP",5752.252,0
"AGO","FRA",6510.322,0
"AGO","GBR",6837.594,0
"AGO","ITA",5645.243,0
"AGO","JPN",13861.75,0
"AGO","NLD",6856.132,0
"AGO","USA",10427.39,0
"AIA","AUS",16217.81,0
"AIA","CAN",3217.205,0
"AIA","DEU",7065.73,0
"AIA","ESP",6138.721,0
"AIA","FRA",6710.57,0
"AIA","GBR",6574.204,1
"AIA","ITA",7496.875,0
"AIA","JPN",13571.93,0
"AIA","NLD",6931.505,0
"AIA","USA",2717.069,0
"ALB","AUS",15722.44,0
"ALB","CAN",7606.625,0
"ALB","DEU",1493.096,0
"ALB","ESP",1977.061,0
"ALB","FRA",1603.534,0
"ALB","GBR",1895.345,0
"ALB","ITA",611.7626,0
"ALB","JPN",9501.873,0
"ALB","NLD",1664.815,0
"ALB","USA",7439.631,0
"AND","AUS",17230.53,0
"AND","CAN",6296.456,0
"AND","DEU",1080.611,0
"AND","ESP",492.9274,0
"AND","FRA",711.5485,0
"AND","GBR",1009.577,0
"AND","ITA",909.03,0
"AND","JPN",10354.8,0
"AND","NLD",1125.463,0
"AND","USA",6064.699,0
"ANT","AUS",15308.32,0
"ANT","CAN",3651.909,0
"ANT","DEU",7992.204,0
"ANT","ESP",7054.917,0
"ANT","FRA",7638.026,0
"ANT","GBR",7500.189,0
"ANT","ITA",8416.242,0
"ANT","JPN",13920.92,0
"ANT","NLD",7857.021,1
"ANT","USA",3227.007,0
"ARE","AUS",12092.16,0
"ARE","CAN",11105.9,0
"ARE","DEU",5004.562,0
"ARE","ESP",5634.667,0
"ARE","FRA",5249.535,0
"ARE","GBR",5483.745,1
"ARE","ITA",4303.976,0
"ARE","JPN",8062.889,0
"ARE","NLD",5170.816,0
"ARE","USA",11029.46,0
"ARG","AUS",11801.36,0
"ARG","CAN",8970.104,0
"ARG","DEU",11512.14,0
"ARG","ESP",10065.85,1
"ARG","FRA",11072.25,0
"ARG","GBR",11147.48,0
"ARG","ITA",11173.56,0
"ARG","JPN",18372.04,0
"ARG","NLD",11466.75,0
"ARG","USA",8542.694,0
"ARM","AUS",13666.9,0
