"countries","iso3","year","tax_to_gdp"
"Afghanistan, Islamic Rep. of","AFG",2006,7.1
"Afghanistan, Islamic Rep. of","AFG",2007,6.1
"Afghanistan, Islamic Rep. of","AFG",2008,6.1
"Afghanistan, Islamic Rep. of","AFG",2009,8.7
"Afghanistan, Islamic Rep. of","AFG",2010,9.4
"Afghanistan, Islamic Rep. of","AFG",2011,9.2
"Afghanistan, Islamic Rep. of","AFG",2012,7.7
"Afghanistan, Islamic Rep. of","AFG",2013,7.3
"Afghanistan, Islamic Rep. of","AFG",2014,6.8
"Afghanistan, Islamic Rep. of","AFG",2015,7.6
"Afghanistan, Islamic Rep. of","AFG",2016,8.8
"Afghanistan, Islamic Rep. of","AFG",2017,9.2
"Albania","ALB",2007,19.1
"Albania","ALB",2015,19.2
"Albania","ALB",2014,19
"Albania","ALB",2005,18
"Albania","ALB",2018,19.6
"Albania","ALB",2019,19.4
"Albania","ALB",2006,18.7
"Albania","ALB",2017,19.8
"Albania","ALB",2012,18.1
"Albania","ALB",2013,17.1
"Albania","ALB",2008,19.9
"Albania","ALB",2011,18.8
"Albania","ALB",2016,18.3
"Albania","ALB",2009,19.7
"Albania","ALB",2010,19
"Argentina","ARG",2004,21.1
"Argentina","ARG",2003,18.2
"Argentina","ARG",2002,15.1
"Armenia, Rep. of","ARM",2004,14.5
"Armenia, Rep. of","ARM",2005,14.8
"Armenia, Rep. of","ARM",2006,14.8
"Armenia, Rep. of","ARM",2007,16.4
"Armenia, Rep. of","ARM",2008,17.7
"Armenia, Rep. of","ARM",2009,17.1
"Armenia, Rep. of","ARM",2010,17.6
"Armenia, Rep. of","ARM",2011,17.7
"Armenia, Rep. of","ARM",2012,18
"Armenia, Rep. of","ARM",2013,22
"Armenia, Rep. of","ARM",2014,22.1
"Armenia, Rep. of","ARM",2015,21.6
"Armenia, Rep. of","ARM",2016,21.8
"Armenia, Rep. of","ARM",2017,21.3
"Armenia, Rep. of","ARM",2018,21.3
"Armenia, Rep. of","ARM",2019,22.7
"Australia","AUS",2014,26.8
"Australia","AUS",2015,27.1
"Australia","AUS",2016,27.2
"Australia","AUS",2013,26.4
"Australia","AUS",2018,27.8
"Australia","AUS",1999,28.3
"Australia","AUS",2019,28
"Australia","AUS",2017,26.9
"Australia","AUS",2012,25.7
"Australia","AUS",2007,28.3
"Australia","AUS",2003,28.8
"Australia","AUS",2011,24.4
"Australia","AUS",2001,29.5
"Australia","AUS",2002,27.9
"Australia","AUS",2008,28.2
"Australia","AUS",2000,28.6
"Australia","AUS",2010,24.5
"Australia","AUS",2009,26.8
"Australia","AUS",2006,28.7
"Australia","AUS",2004,28.9
"Australia","AUS",2005,29
"Austria","AUT",2008,27.7
"Austria","AUT",2013,28.2
"Austria","AUT",2016,27.2
"Austria","AUT",2012,27.7
"Austria","AUT",2017,27.1
"Austria","AUT",2018,27.4
"Austria","AUT",2019,27.5
"Austria","AUT",2006,26.7
"Austria","AUT",2007,27
"Austria","AUT",2009,26.9
"Austria","AUT",2010,27
"Austria","AUT",2011,27.1
"Austria","AUT",2000,28.1
"Austria","AUT",1997,28.9
"Austria","AUT",2014,28.2
"Austria","AUT",2015,28.5
"Austria","AUT",1996,28
"Austria","AUT",2002,28.7
"Austria","AUT",2004,28
"Austria","AUT",2005,27.2
"Austria","AUT",1999,28.6
"Austria","AUT",1995,26.7
"Austria","AUT",1998,28.9
"Austria","AUT",2001,29.7
"Austria","AUT",2003,28.4
"Azerbaijan, Rep. of","AZE",2008,16.6
"Azerbaijan, Rep. of","AZE",2009,14.3
"Azerbaijan, Rep. of","AZE",2010,12.3
"Azerbaijan, Rep. of","AZE",2011,12.3
"Azerbaijan, Rep. of","AZE",2012,12.9
"Azerbaijan, Rep. of","AZE",2013,13.5
"Azerbaijan, Rep. of","AZE",2014,14.3
"Azerbaijan, Rep. of","AZE",2015,15.7
"Azerbaijan, Rep. of","AZE",2016,14.7
"Azerbaijan, Rep. of","AZE",2017,13.3
"Azerbaijan, Rep. of","AZE",2018,13.1
"Azerbaijan, Rep. of","AZE",2019,14.4
"Barbados","BRB",2004,25.8
"Barbados","BRB",2003,25.4
"Belarus, Rep. of","BLR",2019,23.8
"Belarus, Rep. of","BLR",2003,32.7
"Belarus, Rep. of","BLR",2004,32.4
"Belarus, Rep. of","BLR",2005,33.2
"Belarus, Rep. of","BLR",2006,32.9
"Belarus, Rep. of","BLR",2007,34.1
"Belarus, Rep. of","BLR",2008,36.4
"Belarus, Rep. of","BLR",2009,29.1
"Belarus, Rep. of","BLR",2010,26.3
"Belarus, Rep. of","BLR",2011,23.9
"Belarus, Rep. of","BLR",2012,25.2
"Belarus, Rep. of","BLR",2013,24.6
"Belarus, Rep. of","BLR",2014,23.5
"Belarus, Rep. of","BLR",2015,24.8
"Belarus, Rep. of","BLR",2016,25.1
"Belarus, Rep. of","BLR",2017,24.2
"Belarus, Rep. of","BLR",2018,25.1
"Belgium","BEL",2009,28.4
"Belgium","BEL",2013,31.2
"Belgium","BEL",1998,30.3
"Belgium","BEL",2008,29.6
"Belgium","BEL",2003,29.4
"Belgium","BEL",2014,31
"Belgium","BEL",2011,29.8
"Belgium","BEL",2004,29.9
"Belgium","BEL",2005,29.9
"Belgium","BEL",2006,29.8
"Belgium","BEL",1995,28.6
"Belgium","BEL",1996,29.2
"Belgium","BEL",2012,30.6
"Belgium","BEL",2019,30
"Belgium","BEL",1999,30.3
"Belgium","BEL",2000,30.2
"Belgium","BEL",2001,29.9
"Belgium","BEL",2015,30.3
"Belgium","BEL",2016,30.1
"Belgium","BEL",2007,29.4
"Belgium","BEL",2010,29.1
"Belgium","BEL",1997,29.8
"Belgium","BEL",2017,30.7
"Belgium","BEL",2018,31
"Belgium","BEL",2002,29.9
"Bolivia","BOL",1995,12.4
