"dac","dacc","same"
"AUS","AFG",0
"CAN","AFG",0
"FRA","AFG",0
"DEU","AFG",0
"ITA","AFG",0
"JPN","AFG",0
"NLD","AFG",0
"KOR","AFG",0
"ESP","AFG",0
"GBR","AFG",0
"USA","AFG",0
"AUS","ALB",0
"CAN","ALB",0
"FRA","ALB",0
"DEU","ALB",0
"ITA","ALB",0
"JPN","ALB",0
"NLD","ALB",0
"KOR","ALB",0
"ESP","ALB",0
"GBR","ALB",0
"USA","ALB",0
"AUS","DZA",0
"CAN","DZA",0
"FRA","DZA",0
"DEU","DZA",0
"ITA","DZA",0
"JPN","DZA",0
"NLD","DZA",0
"KOR","DZA",0
"ESP","DZA",0
"GBR","DZA",0
"USA","DZA",0
"AUS","ASM",1
"CAN","ASM",1
"FRA","ASM",1
"DEU","ASM",1
"ITA","ASM",1
"JPN","ASM",0
"NLD","ASM",1
"KOR","ASM",0
"ESP","ASM",1
"GBR","ASM",1
"USA","ASM",1
"AUS","AND",1
"CAN","AND",1
"FRA","AND",1
"DEU","AND",1
"ITA","AND",1
"JPN","AND",0
"NLD","AND",1
"KOR","AND",0
"ESP","AND",1
"GBR","AND",1
"USA","AND",1
"AUS","AGO",1
"CAN","AGO",1
"FRA","AGO",1
"DEU","AGO",1
"ITA","AGO",1
"JPN","AGO",0
"NLD","AGO",1
"KOR","AGO",0
"ESP","AGO",1
"GBR","AGO",1
"USA","AGO",1
"AUS","AIA",1
"CAN","AIA",1
"FRA","AIA",1
"DEU","AIA",1
"ITA","AIA",1
"JPN","AIA",0
"NLD","AIA",1
"KOR","AIA",0
"ESP","AIA",1
"GBR","AIA",1
"USA","AIA",1
"AUS","ATG",1
"CAN","ATG",1
"FRA","ATG",1
"DEU","ATG",1
"ITA","ATG",1
"JPN","ATG",0
"NLD","ATG",1
"KOR","ATG",0
"ESP","ATG",1
"GBR","ATG",1
"USA","ATG",1
"AUS","ARG",1
"CAN","ARG",1
"FRA","ARG",1
"DEU","ARG",1
"ITA","ARG",1
"JPN","ARG",0
"NLD","ARG",1
"KOR","ARG",0
"ESP","ARG",1
"GBR","ARG",1
"USA","ARG",1
"AUS","ARM",1
"CAN","ARM",1
"FRA","ARM",1
"DEU","ARM",1
"ITA","ARM",1
"JPN","ARM",0
"NLD","ARM",1
"KOR","ARM",0
"ESP","ARM",1
"GBR","ARM",1
"USA","ARM",1
"AUS","ABW",1
"CAN","ABW",1
"FRA","ABW",1
"DEU","ABW",1
"ITA","ABW",1
"JPN","ABW",0
"NLD","ABW",1
"KOR","ABW",0
"ESP","ABW",1
"GBR","ABW",1
"USA","ABW",1
"AUS","AUT",1
"CAN","AUT",1
"FRA","AUT",1
"DEU","AUT",1
"ITA","AUT",1
"JPN","AUT",0
"NLD","AUT",1
"KOR","AUT",0
"ESP","AUT",1
"GBR","AUT",1
"USA","AUT",1
"AUS","AZE",0
"CAN","AZE",0
"FRA","AZE",0
"DEU","AZE",0
"ITA","AZE",0
"JPN","AZE",0
"NLD","AZE",0
"KOR","AZE",0
"ESP","AZE",0
"GBR","AZE",0
"USA","AZE",0
"AUS","BHS",1
"CAN","BHS",1
"FRA","BHS",1
"DEU","BHS",1
"ITA","BHS",1
"JPN","BHS",0
"NLD","BHS",1
"KOR","BHS",0
"ESP","BHS",1
"GBR","BHS",1
"USA","BHS",1
"AUS","BHR",0
"CAN","BHR",0
"FRA","BHR",0
"DEU","BHR",0
"ITA","BHR",0
"JPN","BHR",0
"NLD","BHR",0
"KOR","BHR",0
"ESP","BHR",0
"GBR","BHR",0
"USA","BHR",0
"AUS","BGD",0
"CAN","BGD",0
"FRA","BGD",0
"DEU","BGD",0
"ITA","BGD",0
"JPN","BGD",0
"NLD","BGD",0
"KOR","BGD",0
"ESP","BGD",0
"GBR","BGD",0
"USA","BGD",0
"AUS","BRB",1
"CAN","BRB",1
"FRA","BRB",1
"DEU","BRB",1
"ITA","BRB",1
"JPN","BRB",0
"NLD","BRB",1
"KOR","BRB",0
"ESP","BRB",1
"GBR","BRB",1
"USA","BRB",1
"AUS","BLR",1
"CAN","BLR",1
"FRA","BLR",1
"DEU","BLR",1
"ITA","BLR",1
"JPN","BLR",0
"NLD","BLR",1
"KOR","BLR",0
"ESP","BLR",1
"GBR","BLR",1
"USA","BLR",1
"AUS","BEL",1
"CAN","BEL",1
"FRA","BEL",1
"DEU","BEL",1
"ITA","BEL",1
"JPN","BEL",0
"NLD","BEL",1
"KOR","BEL",0
"ESP","BEL",1
"GBR","BEL",1
"USA","BEL",1
"AUS","BLZ",1
"CAN","BLZ",1
"FRA","BLZ",1
"DEU","BLZ",1
"ITA","BLZ",1
"JPN","BLZ",0
