region,subregioncode,subregion,countries,iso3,Least Developed Countries (LDC),Land Locked Developing Countries (LLDC),Small Island Developing States (SIDS),Developed / Developing Countries
Africa,15,Northern Africa,Algeria,DZA,,,,Developing
Africa,15,Northern Africa,Egypt,EGY,,,,Developing
Africa,15,Northern Africa,Libya,LBY,,,,Developing
Africa,15,Northern Africa,Morocco,MAR,,,,Developing
Africa,15,Northern Africa,Sudan,SDN,x,,,Developing
Africa,15,Northern Africa,Tunisia,TUN,,,,Developing
Africa,15,Northern Africa,Western Sahara,ESH,,,,Developing
Africa,202,Sub-Saharan Africa,British Indian Ocean Territory,IOT,,,,Developing
Africa,202,Sub-Saharan Africa,Burundi,BDI,x,x,,Developing
Africa,202,Sub-Saharan Africa,Comoros,COM,x,,x,Developing
Africa,202,Sub-Saharan Africa,Djibouti,DJI,x,,,Developing
Africa,202,Sub-Saharan Africa,Eritrea,ERI,x,,,Developing
Africa,202,Sub-Saharan Africa,Ethiopia,ETH,x,x,,Developing
Africa,202,Sub-Saharan Africa,French Southern Territories,ATF,,,,Developing
Africa,202,Sub-Saharan Africa,Kenya,KEN,,,,Developing
Africa,202,Sub-Saharan Africa,Madagascar,MDG,x,,,Developing
Africa,202,Sub-Saharan Africa,Malawi,MWI,x,x,,Developing
Africa,202,Sub-Saharan Africa,Mauritius,MUS,,,x,Developing
Africa,202,Sub-Saharan Africa,Mayotte,MYT,,,,Developing
Africa,202,Sub-Saharan Africa,Mozambique,MOZ,x,,,Developing
Africa,202,Sub-Saharan Africa,Réunion,REU,,,,Developing
Africa,202,Sub-Saharan Africa,Rwanda,RWA,x,x,,Developing
Africa,202,Sub-Saharan Africa,Seychelles,SYC,,,x,Developing
Africa,202,Sub-Saharan Africa,Somalia,SOM,x,,,Developing
Africa,202,Sub-Saharan Africa,South Sudan,SSD,x,x,,Developing
Africa,202,Sub-Saharan Africa,Uganda,UGA,x,x,,Developing
Africa,202,Sub-Saharan Africa,United Republic of Tanzania,TZA,x,,,Developing
Africa,202,Sub-Saharan Africa,Zambia,ZMB,x,x,,Developing
Africa,202,Sub-Saharan Africa,Zimbabwe,ZWE,,x,,Developing
Africa,202,Sub-Saharan Africa,Angola,AGO,x,,,Developing
Africa,202,Sub-Saharan Africa,Cameroon,CMR,,,,Developing
Africa,202,Sub-Saharan Africa,Central African Republic,CAF,x,x,,Developing
Africa,202,Sub-Saharan Africa,Chad,TCD,x,x,,Developing
Africa,202,Sub-Saharan Africa,Congo,COG,,,,Developing
Africa,202,Sub-Saharan Africa,Democratic Republic of the Congo,COD,x,,,Developing
Africa,202,Sub-Saharan Africa,Equatorial Guinea,GNQ,,,,Developing
Africa,202,Sub-Saharan Africa,Gabon,GAB,,,,Developing
Africa,202,Sub-Saharan Africa,Sao Tome and Principe,STP,x,,x,Developing
Africa,202,Sub-Saharan Africa,Botswana,BWA,,x,,Developing
Africa,202,Sub-Saharan Africa,Eswatini,SWZ,,x,,Developing
Africa,202,Sub-Saharan Africa,Lesotho,LSO,x,x,,Developing
Africa,202,Sub-Saharan Africa,Namibia,NAM,,,,Developing
Africa,202,Sub-Saharan Africa,South Africa,ZAF,,,,Developing
Africa,202,Sub-Saharan Africa,Benin,BEN,x,,,Developing
Africa,202,Sub-Saharan Africa,Burkina Faso,BFA,x,x,,Developing
Africa,202,Sub-Saharan Africa,Cabo Verde,CPV,,,x,Developing
Africa,202,Sub-Saharan Africa,Côte d’Ivoire,CIV,,,,Developing
Africa,202,Sub-Saharan Africa,Gambia,GMB,x,,,Developing
Africa,202,Sub-Saharan Africa,Ghana,GHA,,,,Developing
Africa,202,Sub-Saharan Africa,Guinea,GIN,x,,,Developing
Africa,202,Sub-Saharan Africa,Guinea-Bissau,GNB,x,,x,Developing
Africa,202,Sub-Saharan Africa,Liberia,LBR,x,,,Developing
Africa,202,Sub-Saharan Africa,Mali,MLI,x,x,,Developing
Africa,202,Sub-Saharan Africa,Mauritania,MRT,x,,,Developing
Africa,202,Sub-Saharan Africa,Niger,NER,x,x,,Developing
Africa,202,Sub-Saharan Africa,Nigeria,NGA,,,,Developing
Africa,202,Sub-Saharan Africa,Saint Helena,SHN,,,,Developing
Africa,202,Sub-Saharan Africa,Senegal,SEN,x,,,Developing
Africa,202,Sub-Saharan Africa,Sierra Leone,SLE,x,,,Developing
Africa,202,Sub-Saharan Africa,Togo,TGO,x,,,Developing
Americas,419,Latin America and the Caribbean,Anguilla,AIA,,,x,Developing
Americas,419,Latin America and the Caribbean,Antigua and Barbuda,ATG,,,x,Developing
Americas,419,Latin America and the Caribbean,Aruba,ABW,,,x,Developing
Americas,419,Latin America and the Caribbean,Bahamas,BHS,,,x,Developing
Americas,419,Latin America and the Caribbean,Barbados,BRB,,,x,Developing
Americas,419,Latin America and the Caribbean,Bonaire Sint Eustatius and Saba,BES,,,x,Developing
Americas,419,Latin America and the Caribbean,British Virgin Islands,VGB,,,x,Developing
Americas,419,Latin America and the Caribbean,Cayman Islands,CYM,,,,Developing
Americas,419,Latin America and the Caribbean,Cuba,CUB,,,x,Developing
Americas,419,Latin America and the Caribbean,Curaçao,CUW,,,x,Developing
Americas,419,Latin America and the Caribbean,Dominica,DMA,,,x,Developing
Americas,419,Latin America and the Caribbean,Dominican Republic,DOM,,,x,Developing
Americas,419,Latin America and the Caribbean,Grenada,GRD,,,x,Developing
Americas,419,Latin America and the Caribbean,Guadeloupe,GLP,,,,Developing
Americas,419,Latin America and the Caribbean,Haiti,HTI,x,,x,Developing
Americas,419,Latin America and the Caribbean,Jamaica,JAM,,,x,Developing
Americas,419,Latin America and the Caribbean,Martinique,MTQ,,,,Developing
Americas,419,Latin America and the Caribbean,Montserrat,MSR,,,x,Developing
Americas,419,Latin America and the Caribbean,Puerto Rico,PRI,,,x,Developing
Americas,419,Latin America and the Caribbean,Saint Barthélemy,BLM,,,,Developing
Americas,419,Latin America and the Caribbean,Saint Kitts and Nevis,KNA,,,x,Developing
Americas,419,Latin America and the Caribbean,Saint Lucia,LCA,,,x,Developing
Americas,419,Latin America and the Caribbean,Saint Martin (French Part),MAF,,,,Developing
Americas,419,Latin America and the Caribbean,Saint Vincent and the Grenadines,VCT,,,x,Developing
Americas,419,Latin America and the Caribbean,Sint Maarten (Dutch part),SXM,,,x,Developing
Americas,419,Latin America and the Caribbean,Trinidad and Tobago,TTO,,,x,Developing
Americas,419,Latin America and the Caribbean,Turks and Caicos Islands,TCA,,,,Developing
Americas,419,Latin America and the Caribbean,United States Virgin Islands,VIR,,,x,Developing
Americas,419,Latin America and the Caribbean,Belize,BLZ,,,x,Developing
Americas,419,Latin America and the Caribbean,Costa Rica,CRI,,,,Developing
Americas,419,Latin America and the Caribbean,El Salvador,SLV,,,,Developing
Americas,419,Latin America and the Caribbean,Guatemala,GTM,,,,Developing
Americas,419,Latin America and the Caribbean,Honduras,HND,,,,Developing
Americas,419,Latin America and the Caribbean,Mexico,MEX,,,,Developing
Americas,419,Latin America and the Caribbean,Nicaragua,NIC,,,,Developing
Americas,419,Latin America and the Caribbean,Panama,PAN,,,,Developing
Americas,419,Latin America and the Caribbean,Argentina,ARG,,,,Developing
Americas,419,Latin America and the Caribbean,Bolivia (Plurinational State of),BOL,,x,,Developing
Americas,419,Latin America and the Caribbean,Bouvet Island,BVT,,,,Developing
Americas,419,Latin America and the Caribbean,Brazil,BRA,,,,Developing
Americas,419,Latin America and the Caribbean,Chile,CHL,,,,Developing
Americas,419,Latin America and the Caribbean,Colombia,COL,,,,Developing
Americas,419,Latin America and the Caribbean,Ecuador,ECU,,,,Developing
Americas,419,Latin America and the Caribbean,Falkland Islands (Malvinas),FLK,,,,Developing
Americas,419,Latin America and the Caribbean,French Guiana,GUF,,,,Developing
Americas,419,Latin America and the Caribbean,Guyana,GUY,,,x,Developing
Americas,419,Latin America and the Caribbean,Paraguay,PRY,,x,,Developing
Americas,419,Latin America and the Caribbean,Peru,PER,,,,Developing
Americas,419,Latin America and the Caribbean,South Georgia and the South Sandwich Islands,SGS,,,,Developing
Americas,419,Latin America and the Caribbean,Suriname,SUR,,,x,Developing
Americas,419,Latin America and the Caribbean,Uruguay,URY,,,,Developing
Americas,419,Latin America and the Caribbean,Venezuela (Bolivarian Republic of),VEN,,,,Developing
Americas,21,Northern America,Bermuda,BMU,,,,Developed
Americas,21,Northern America,Canada,CAN,,,,Developed
Americas,21,Northern America,Greenland,GRL,,,,Developed
Americas,21,Northern America,Saint Pierre and Miquelon,SPM,,,,Developed
Americas,21,Northern America,United States of America,USA,,,,Developed
,,,Antarctica,ATA,,,,
Asia,143,Central Asia,Kazakhstan,KAZ,,x,,Developing
Asia,143,Central Asia,Kyrgyzstan,KGZ,,x,,Developing
Asia,143,Central Asia,Tajikistan,TJK,,x,,Developing
Asia,143,Central Asia,Turkmenistan,TKM,,x,,Developing
Asia,143,Central Asia,Uzbekistan,UZB,,x,,Developing
Asia,30,Eastern Asia,China,CHN,,,,Developing
Asia,30,Eastern Asia,Hong Kong,HKG,,,,Developing
Asia,30,Eastern Asia,Macau,MAC,,,,Developing
Asia,30,Eastern Asia,Democratic People's Republic of Korea,PRK,,,,Developing
Asia,30,Eastern Asia,Japan,JPN,,,,Developed
Asia,30,Eastern Asia,Mongolia,MNG,,x,,Developing
Asia,30,Eastern Asia,Republic of Korea,KOR,,,,Developing
Asia,35,South-eastern Asia,Brunei Darussalam,BRN,,,,Developing
Asia,35,South-eastern Asia,Cambodia,KHM,x,,,Developing
Asia,35,South-eastern Asia,Indonesia,IDN,,,,Developing
Asia,35,South-eastern Asia,Lao People's Democratic Republic,LAO,x,x,,Developing
Asia,35,South-eastern Asia,Malaysia,MYS,,,,Developing
Asia,35,South-eastern Asia,Myanmar,MMR,x,,,Developing
Asia,35,South-eastern Asia,Philippines,PHL,,,,Developing
Asia,35,South-eastern Asia,Singapore,SGP,,,x,Developing
Asia,35,South-eastern Asia,Thailand,THA,,,,Developing
Asia,35,South-eastern Asia,Timor-Leste,TLS,x,,x,Developing
Asia,35,South-eastern Asia,Viet Nam,VNM,,,,Developing
Asia,34,Southern Asia,Afghanistan,AFG,x,x,,Developing
Asia,34,Southern Asia,Bangladesh,BGD,x,,,Developing
Asia,34,Southern Asia,Bhutan,BTN,x,x,,Developing
Asia,34,Southern Asia,India,IND,,,,Developing
Asia,34,Southern Asia,Iran (Islamic Republic of),IRN,,,,Developing
Asia,34,Southern Asia,Maldives,MDV,,,x,Developing
Asia,34,Southern Asia,Nepal,NPL,x,x,,Developing
Asia,34,Southern Asia,Pakistan,PAK,,,,Developing
Asia,34,Southern Asia,Sri Lanka,LKA,,,,Developing
Asia,145,Western Asia,Armenia,ARM,,x,,Developing
Asia,145,Western Asia,Azerbaijan,AZE,,x,,Developing
Asia,145,Western Asia,Bahrain,BHR,,,,Developing
Asia,145,Western Asia,Cyprus,CYP,,,,Developed
Asia,145,Western Asia,Georgia,GEO,,,,Developing
Asia,145,Western Asia,Iraq,IRQ,,,,Developing
Asia,145,Western Asia,Israel,ISR,,,,Developed
Asia,145,Western Asia,Jordan,JOR,,,,Developing
Asia,145,Western Asia,Kuwait,KWT,,,,Developing
Asia,145,Western Asia,Lebanon,LBN,,,,Developing
Asia,145,Western Asia,Oman,OMN,,,,Developing
Asia,145,Western Asia,Qatar,QAT,,,,Developing
Asia,145,Western Asia,Saudi Arabia,SAU,,,,Developing
Asia,145,Western Asia,State of Palestine,PSE,,,,Developing
Asia,145,Western Asia,Syrian Arab Republic,SYR,,,,Developing
Asia,145,Western Asia,Turkey,TUR,,,,Developing
Asia,145,Western Asia,United Arab Emirates,ARE,,,,Developing
Asia,145,Western Asia,Yemen,YEM,x,,,Developing
Europe,151,Eastern Europe,Belarus,BLR,,,,Developed
Europe,151,Eastern Europe,Bulgaria,BGR,,,,Developed
Europe,151,Eastern Europe,Czechia,CZE,,,,Developed
Europe,151,Eastern Europe,Hungary,HUN,,,,Developed
Europe,151,Eastern Europe,Poland,POL,,,,Developed
Europe,151,Eastern Europe,Republic of Moldova,MDA,,x,,Developed
Europe,151,Eastern Europe,Romania,ROU,,,,Developed
Europe,151,Eastern Europe,Russian Federation,RUS,,,,Developed
Europe,151,Eastern Europe,Slovakia,SVK,,,,Developed
Europe,151,Eastern Europe,Ukraine,UKR,,,,Developed
Europe,154,Northern Europe,Åland Islands,ALA,,,,Developed
Europe,154,Northern Europe,Guernsey,GGY,,,,Developed
Europe,154,Northern Europe,Jersey,JEY,,,,Developed
Europe,154,Northern Europe,Sark,,,,,Developed
Europe,154,Northern Europe,Denmark,DNK,,,,Developed
Europe,154,Northern Europe,Estonia,EST,,,,Developed
Europe,154,Northern Europe,Faroe Islands,FRO,,,,Developed
Europe,154,Northern Europe,Finland,FIN,,,,Developed
Europe,154,Northern Europe,Iceland,ISL,,,,Developed
Europe,154,Northern Europe,Ireland,IRL,,,,Developed
Europe,154,Northern Europe,Isle of Man,IMN,,,,Developed
Europe,154,Northern Europe,Latvia,LVA,,,,Developed
Europe,154,Northern Europe,Lithuania,LTU,,,,Developed
Europe,154,Northern Europe,Norway,NOR,,,,Developed
Europe,154,Northern Europe,Svalbard and Jan Mayen Islands,SJM,,,,Developed
Europe,154,Northern Europe,Sweden,SWE,,,,Developed
Europe,154,Northern Europe,United Kingdom of Great Britain and Northern Ireland,GBR,,,,Developed
Europe,39,Southern Europe,Albania,ALB,,,,Developed
Europe,39,Southern Europe,Andorra,AND,,,,Developed
Europe,39,Southern Europe,Bosnia and Herzegovina,BIH,,,,Developed
Europe,39,Southern Europe,Croatia,HRV,,,,Developed
Europe,39,Southern Europe,Gibraltar,GIB,,,,Developed
Europe,39,Southern Europe,Greece,GRC,,,,Developed
Europe,39,Southern Europe,Holy See,VAT,,,,Developed
Europe,39,Southern Europe,Italy,ITA,,,,Developed
Europe,39,Southern Europe,Malta,MLT,,,,Developed
Europe,39,Southern Europe,Montenegro,MNE,,,,Developed
Europe,39,Southern Europe,North Macedonia,MKD,,x,,Developed
Europe,39,Southern Europe,Portugal,PRT,,,,Developed
Europe,39,Southern Europe,San Marino,SMR,,,,Developed
