countries,countries_code,year,real_gdp_growth,real_gdp_capita,trade_open,industry_value_gdp,natural_rent_gdp,nomina_gdp
Afghanistan,AFG,1995,..,..,..,..,..,..
Afghanistan,AFG,1996,..,..,..,..,..,..
Afghanistan,AFG,1997,..,..,..,..,..,..
Afghanistan,AFG,1998,..,..,..,..,..,..
Afghanistan,AFG,1999,..,..,..,..,..,..
Afghanistan,AFG,2000,..,..,..,..,..,..
Afghanistan,AFG,2001,..,..,..,..,..,..
Afghanistan,AFG,2002,..,332.7668827,..,23.81012701,1.023570222,4055179566
Afghanistan,AFG,2003,8.832277813,345.6395712,..,22.71086418,0.710009344,4515558808
Afghanistan,AFG,2004,1.414117981,335.7017313,..,26.22678975,0.44003058,5226778809
Afghanistan,AFG,2005,11.22971482,359.8990021,..,26.81209923,0.3817198,6209137625
Afghanistan,AFG,2006,5.357403251,368.0086446,..,28.21076807,0.50226549,6971285595
Afghanistan,AFG,2007,13.82631955,408.5734542,..,26.88224161,0.449365386,9747879532
Afghanistan,AFG,2008,3.924983822,415.0869954,..,26.915628,0.611295447,10109225814
Afghanistan,AFG,2009,21.39052839,491.942093,..,21.89712221,0.418062902,12439087077
Afghanistan,AFG,2010,14.36244147,547.3548959,..,21.1514207,0.609980533,15856574731
Afghanistan,AFG,2011,0.426354785,532.679977,..,22.74025248,0.879277901,17804292964
Afghanistan,AFG,2012,12.75228709,580.4872876,..,21.15780715,0.702276007,20001598506
Afghanistan,AFG,2013,5.600744658,591.9470685,..,20.44460531,0.54588231,20561069558
Afghanistan,AFG,2014,2.724543364,588.0088976,..,21.22966322,0.544477424,20484885120
Afghanistan,AFG,2015,1.45131466,578.4663529,..,22.12404249,0.495307093,19907111419
Afghanistan,AFG,2016,2.260314201,575.3344424,..,10.46680769,0.677458944,18017749074
Afghanistan,AFG,2017,2.647003202,575.7070531,..,10.051874,0.696790427,18869945678
Afghanistan,AFG,2018,1.189228128,568.8279274,..,13.38724696,0.915366189,18353881130
Afghanistan,AFG,2019,3.911603419,577.5630576,..,14.05811237,0.773957273,19291104008
Albania,ALB,1995,13.32233332,1488.103306,47.61059487,..,1.296536422,2392764853
Albania,ALB,1996,9.099999444,1633.642486,44.89543922,17.37366346,1.25275915,3199642580
Albania,ALB,1997,-10.91998409,1464.379073,45.42559277,18.10957749,1.35697405,2258515610
Albania,ALB,1998,8.830087709,1603.746264,48.13739519,15.34689204,0.321535422,2545967253
Albania,ALB,1999,12.88989673,1821.970527,51.01110106,16.53644764,0.531577111,3212119044
Albania,ALB,2000,6.950036134,1961.057323,63.45423801,19.39564563,1.09796102,3480355189
Albania,ALB,2001,8.290070027,2143.653801,66.49104468,21.73566042,0.755950478,3922099471
Albania,ALB,2002,4.53996064,2247.705088,68.52513128,23.10639541,0.76079824,4348070165
Albania,ALB,2003,5.530050778,2380.895778,67.02063654,24.05558276,0.733194369,5611492283
Albania,ALB,2004,5.509998693,2522.603857,67.04714687,24.66552309,0.770849476,7184681399
Albania,ALB,2005,5.529914809,2675.760999,70.87230464,25.0817045,1.018382373,8052075642
Albania,ALB,2006,5.900083957,2851.567369,74.26709433,25.30818687,1.321831442,8896073938
Albania,ALB,2007,5.979982036,3045.015606,83.20206143,25.3402999,1.761086092,10677321490
Albania,ALB,2008,7.49996956,3298.605602,77.45170257,25.16102027,1.10999895,12881354104
Albania,ALB,2009,3.350066528,3432.162465,75.09484019,24.41365129,0.605979694,12044223353
Albania,ALB,2010,3.706892301,3577.103981,76.54340948,24.93746701,1.57450583,11926928506
Albania,ALB,2011,2.545321845,3678.034042,81.21854856,24.48440752,3.178895493,12890765324
Albania,ALB,2012,1.417525992,3736.336637,76.51017401,22.91851392,3.377276961,12319830252
Albania,ALB,2013,1.00198715,3780.694571,75.87378166,23.0613369,2.947406347,12776217195
Albania,ALB,2014,1.774486785,3855.757468,75.40783406,21.50885789,3.075781739,13228144008
Albania,ALB,2015,2.218752232,3952.801215,71.80104013,21.76366248,1.621620436,11386846319
Albania,ALB,2016,3.314804753,4090.363323,74.80982141,21.14194326,1.333386872,11861200797
Albania,ALB,2017,3.802197488,4249.79385,78.19427508,20.35836057,1.357555735,13019693451
Albania,ALB,2018,4.071301295,4433.741739,76.85588775,21.28403045,1.818064699,15147020535
Albania,ALB,2019,2.173692288,4549.457441,76.85412582,20.23596249,1.591731888,15286612573
Algeria,DZA,1995,3.79999479,2834.263395,55.19100521,..,16.16789126,41764315330
Algeria,DZA,1996,4.09999847,2899.191363,53.70514788,..,19.01718794,46941582519
Algeria,DZA,1997,1.099999939,2884.118399,52.24391151,..,17.96780337,48177612042
Algeria,DZA,1998,5.100003609,2986.053772,45.09445056,..,11.68871588,48187747529
Algeria,DZA,1999,3.200001552,3038.270988,50.92910934,45.36516915,15.65979498,48640653469
Algeria,DZA,2000,3.8,3111.174196,62.85835888,54.37145463,24.3954281,54790379459
Algeria,DZA,2001,3,3162.809501,58.70615034,50.1064083,21.85733832,54744725766
Algeria,DZA,2002,5.6,3297.61072,61.134212,49.18503483,21.87077509,56760318215
Algeria,DZA,2003,7.2,3490.221033,62.1247612,50.82468287,23.43667241,67863841333
Algeria,DZA,2004,4.3,3592.643022,65.70142185,52.29994811,25.06822944,85332581189
Algeria,DZA,2005,5.9,3752.093781,71.27858211,57.33401252,32.43901365,1.03E+11
Algeria,DZA,2006,1.7,3760.152984,70.73000412,58.88448307,34.41216139,1.17E+11
Algeria,DZA,2007,3.4,3828.146048,71.93810597,57.67406199,32.46493369,1.35E+11
Algeria,DZA,2008,2.4,3856.405214,76.684539,58.62069247,34.25249016,1.71E+11
Algeria,DZA,2009,1.6,3851.211335,71.32432339,47.89888188,24.53419146,1.37E+11
Algeria,DZA,2010,3.6,3918.483934,69.86664378,50.49540231,26.28289197,1.61E+11
Algeria,DZA,2011,2.899999999,3956.893305,67.47430636,49.62477031,31.05280544,2.00E+11
Algeria,DZA,2012,3.4,4012.358961,65.4049792,47.85501775,30.04012861,2.09E+11
Algeria,DZA,2013,2.8,4042.921074,63.61082367,44.25329676,27.80151957,2.10E+11
Algeria,DZA,2014,3.8,4112.073416,62.41431637,42.31057595,24.15405085,2.14E+11
Algeria,DZA,2015,3.7,4177.886892,59.69516646,35.72609326,15.85764042,1.66E+11
