"region","subregioncode","subregion","countries","iso3","leastDeveloped","landLockedDeveloping","smallIsDeveloping","Developing"
"Africa",15,"Northern Africa","Algeria","DZA",0,0,0,1
"Africa",15,"Northern Africa","Egypt","EGY",0,0,0,1
"Africa",15,"Northern Africa","Libya","LBY",0,0,0,1
"Africa",15,"Northern Africa","Morocco","MAR",0,0,0,1
"Africa",15,"Northern Africa","Sudan","SDN",1,0,0,1
"Africa",15,"Northern Africa","Tunisia","TUN",0,0,0,1
"Africa",15,"Northern Africa","Western Sahara","ESH",0,0,0,1
"Africa",202,"Sub-Saharan Africa","British Indian Ocean Territory","IOT",0,0,0,1
"Africa",202,"Sub-Saharan Africa","Burundi","BDI",1,1,0,1
"Africa",202,"Sub-Saharan Africa","Comoros","COM",1,0,1,1
"Africa",202,"Sub-Saharan Africa","Djibouti","DJI",1,0,0,1
"Africa",202,"Sub-Saharan Africa","Eritrea","ERI",1,0,0,1
"Africa",202,"Sub-Saharan Africa","Ethiopia","ETH",1,1,0,1
"Africa",202,"Sub-Saharan Africa","French Southern Territories","ATF",0,0,0,1
"Africa",202,"Sub-Saharan Africa","Kenya","KEN",0,0,0,1
"Africa",202,"Sub-Saharan Africa","Madagascar","MDG",1,0,0,1
"Africa",202,"Sub-Saharan Africa","Malawi","MWI",1,1,0,1
"Africa",202,"Sub-Saharan Africa","Mauritius","MUS",0,0,1,1
"Africa",202,"Sub-Saharan Africa","Mayotte","MYT",0,0,0,1
"Africa",202,"Sub-Saharan Africa","Mozambique","MOZ",1,0,0,1
"Africa",202,"Sub-Saharan Africa","Réunion","REU",0,0,0,1
"Africa",202,"Sub-Saharan Africa","Rwanda","RWA",1,1,0,1
"Africa",202,"Sub-Saharan Africa","Seychelles","SYC",0,0,1,1
"Africa",202,"Sub-Saharan Africa","Somalia","SOM",1,0,0,1
"Africa",202,"Sub-Saharan Africa","South Sudan","SSD",1,1,0,1
"Africa",202,"Sub-Saharan Africa","Uganda","UGA",1,1,0,1
"Africa",202,"Sub-Saharan Africa","United Republic of Tanzania","TZA",1,0,0,1
"Africa",202,"Sub-Saharan Africa","Zambia","ZMB",1,1,0,1
"Africa",202,"Sub-Saharan Africa","Zimbabwe","ZWE",0,1,0,1
"Africa",202,"Sub-Saharan Africa","Angola","AGO",1,0,0,1
"Africa",202,"Sub-Saharan Africa","Cameroon","CMR",0,0,0,1
"Africa",202,"Sub-Saharan Africa","Central African Republic","CAF",1,1,0,1
"Africa",202,"Sub-Saharan Africa","Chad","TCD",1,1,0,1
"Africa",202,"Sub-Saharan Africa","Congo","COG",0,0,0,1
"Africa",202,"Sub-Saharan Africa","Democratic Republic of the Congo","COD",1,0,0,1
"Africa",202,"Sub-Saharan Africa","Equatorial Guinea","GNQ",0,0,0,1
"Africa",202,"Sub-Saharan Africa","Gabon","GAB",0,0,0,1
"Africa",202,"Sub-Saharan Africa","Sao Tome and Principe","STP",1,0,1,1
"Africa",202,"Sub-Saharan Africa","Botswana","BWA",0,1,0,1
"Africa",202,"Sub-Saharan Africa","Eswatini","SWZ",0,1,0,1
"Africa",202,"Sub-Saharan Africa","Lesotho","LSO",1,1,0,1
"Africa",202,"Sub-Saharan Africa","Namibia","NAM",0,0,0,1
"Africa",202,"Sub-Saharan Africa","South Africa","ZAF",0,0,0,1
"Africa",202,"Sub-Saharan Africa","Benin","BEN",1,0,0,1
"Africa",202,"Sub-Saharan Africa","Burkina Faso","BFA",1,1,0,1
"Africa",202,"Sub-Saharan Africa","Cabo Verde","CPV",0,0,1,1
"Africa",202,"Sub-Saharan Africa","Côte d’Ivoire","CIV",0,0,0,1
"Africa",202,"Sub-Saharan Africa","Gambia","GMB",1,0,0,1
"Africa",202,"Sub-Saharan Africa","Ghana","GHA",0,0,0,1
"Africa",202,"Sub-Saharan Africa","Guinea","GIN",1,0,0,1
"Africa",202,"Sub-Saharan Africa","Guinea-Bissau","GNB",1,0,1,1
"Africa",202,"Sub-Saharan Africa","Liberia","LBR",1,0,0,1
"Africa",202,"Sub-Saharan Africa","Mali","MLI",1,1,0,1
"Africa",202,"Sub-Saharan Africa","Mauritania","MRT",1,0,0,1
"Africa",202,"Sub-Saharan Africa","Niger","NER",1,1,0,1
"Africa",202,"Sub-Saharan Africa","Nigeria","NGA",0,0,0,1
"Africa",202,"Sub-Saharan Africa","Saint Helena","SHN",0,0,0,1
"Africa",202,"Sub-Saharan Africa","Senegal","SEN",1,0,0,1
"Africa",202,"Sub-Saharan Africa","Sierra Leone","SLE",1,0,0,1
"Africa",202,"Sub-Saharan Africa","Togo","TGO",1,0,0,1
